[2026-01-17 10:23:51] login | User ID: 1 | Role: petugas | IP: ::1
[2026-01-17 11:09:04] logout | User ID: 1 | Role: petugas | IP: ::1
[2026-01-17 11:09:16] login | User ID: 1 | Role: petugas | IP: ::1
[2026-01-17 11:22:51] logout | User ID: 1 | Role: petugas | IP: ::1
[2026-01-17 11:26:24] login | User ID: 1 | Role: petugas | IP: ::1
[2026-01-17 13:44:01] logout | User ID: 1 | Role: petugas | IP: ::1
[2026-01-17 13:44:10] login | User ID: 2 | Role: petugas | IP: ::1
[2026-01-17 14:11:01] logout | User ID: 2 | Role: petugas | IP: ::1
[2026-01-17 14:11:08] login | User ID: 1 | Role: petugas | IP: ::1
[2026-01-17 14:14:44] logout | User ID: 1 | Role: petugas | IP: ::1
[2026-01-17 14:15:37] login | User ID: 1 | Role: anggota | IP: ::1
[2026-01-17 14:49:13] logout | User ID: 1 | Role: anggota | IP: ::1
[2026-01-17 14:50:06] login | User ID: 2 | Role: petugas | IP: ::1
[2026-01-17 16:06:43] logout | User ID: 2 | Role: petugas | IP: ::1
[2026-01-17 16:06:49] login | User ID: 1 | Role: anggota | IP: ::1
[2026-01-17 16:07:11] logout | User ID: 1 | Role: anggota | IP: ::1
[2026-01-17 16:07:21] login | User ID: 2 | Role: petugas | IP: ::1
[2026-01-17 16:33:37] logout | User ID: 2 | Role: petugas | IP: ::1
[2026-01-17 16:33:42] login | User ID: 1 | Role: petugas | IP: ::1
[2026-01-17 16:35:30] logout | User ID: 1 | Role: petugas | IP: ::1
[2026-01-17 16:35:39] login | User ID: 1 | Role: anggota | IP: ::1
[2026-01-17 17:02:05] logout | User ID: 1 | Role: anggota | IP: ::1
[2026-01-17 17:02:24] login | User ID: 2 | Role: petugas | IP: ::1
[2026-01-18 15:10:11] logout | User ID: 2 | Role: petugas | IP: ::1
[2026-01-18 15:10:17] login | User ID: 1 | Role: petugas | IP: ::1
[2026-01-18 18:22:30] logout | User ID: 1 | Role: petugas | IP: ::1
[2026-01-18 18:22:37] login | User ID: 1 | Role: petugas | IP: ::1
[2026-01-18 18:28:41] logout | User ID: 1 | Role: petugas | IP: ::1
[2026-01-18 18:28:46] login | User ID: 1 | Role: petugas | IP: ::1
[2026-01-18 18:28:58] logout | User ID: 1 | Role: petugas | IP: ::1
[2026-01-18 18:29:39] login | User ID: 1 | Role: petugas | IP: ::1
[2026-01-18 18:58:43] logout | User ID: 1 | Role: petugas | IP: ::1
[2026-01-18 19:04:29] login | User ID: 1 | Role: anggota | IP: ::1
[2026-01-18 19:47:51] logout | User ID: 1 | Role: anggota | IP: ::1
[2026-01-18 19:48:13] login | User ID: 2 | Role: petugas | IP: ::1
[2026-01-18 20:01:11] logout | User ID: 2 | Role: petugas | IP: ::1
[2026-01-18 20:02:13] login | User ID: 2 | Role: petugas | IP: ::1
[2026-01-18 20:02:31] logout | User ID: 2 | Role: petugas | IP: ::1
[2026-01-18 20:05:38] login | User ID: 2 | Role: petugas | IP: ::1
[2026-01-18 20:10:23] logout | User ID: 2 | Role: petugas | IP: ::1
[2026-01-18 20:10:28] login | User ID: 1 | Role: petugas | IP: ::1
[2026-01-18 20:14:56] logout | User ID: 1 | Role: petugas | IP: ::1
[2026-01-18 20:15:01] login | User ID: 1 | Role: petugas | IP: ::1
[2026-01-18 20:28:21] logout | User ID: 1 | Role: petugas | IP: ::1
[2026-01-19 03:28:27] login | User ID: 1 | Role: anggota | IP: ::1
[2026-01-19 03:53:20] logout | User ID: 1 | Role: anggota | IP: ::1
[2026-01-19 03:53:27] login | User ID: 1 | Role: petugas | IP: ::1
[2026-01-19 05:24:19] logout | User ID: 1 | Role: petugas | IP: ::1
[2026-01-19 05:24:30] login | User ID: 2 | Role: petugas | IP: ::1
[2026-01-19 05:24:39] logout | User ID: 2 | Role: petugas | IP: ::1
[2026-01-19 05:35:19] login | User ID: 1 | Role: petugas | IP: ::1
[2026-01-19 05:35:26] logout | User ID: 1 | Role: petugas | IP: ::1
[2026-01-19 05:35:32] login | User ID: 1 | Role: anggota | IP: ::1
[2026-01-19 06:02:17] logout | User ID: 1 | Role: anggota | IP: ::1
[2026-01-19 06:02:34] login | User ID: 1 | Role: anggota | IP: ::1
[2026-01-19 06:11:16] logout | User ID: 1 | Role: anggota | IP: ::1
[2026-01-19 06:11:25] login | User ID: 2 | Role: petugas | IP: ::1
[2026-01-19 06:29:02] logout | User ID: 2 | Role: petugas | IP: ::1
[2026-01-19 06:29:10] login | User ID: 2 | Role: petugas | IP: ::1
